SPU;Milna (Brac) ;22,50;175,00;197,00;27.09.2023;31.12.2025;Applicon
SPU;Sumartin (Brac);28,00;175,00;197,00;27.09.2023;31.12.2025;Applicon
SPU;Postire (Brac);22,50;175,00;197,00;27.09.2023;31.12.2025;Applicon
SPU;Ciovo;6,00;36,00;53,00;27.09.2023;31.12.2025;Applicon
SPU;Omis;11,00;57,00;64,00;27.09.2023;31.12.2025;Applicon
SPU;Podgora;17,00;93,00;109,00;27.09.2023;31.12.2025;Applicon
SPU;Podstrana;9,00;57,00;64,00;27.09.2023;31.12.2025;Applicon
SPU;Seget Vranjica;6,00;38,00;59,00;27.09.2023;31.12.2025;Applicon
SPU;Solin;6,00;38,00;59,00;27.09.2023;31.12.2025;Applicon
SPU;Trogir;6,00;36,00;53,00;27.09.2023;31.12.2025;Applicon
SPU;Tucepi;16,00;109,00;129,00;27.09.2023;31.12.2025;Applicon
SPU;Vodice;14,00;118,00;139,00;27.09.2023;31.12.2025;Applicon
SPU;Primosten;11,00;76,00;93,00;27.09.2023;31.12.2025;Applicon
SPU;Biograd;16,00;177,00;210,00;27.09.2023;31.12.2025;Applicon
SPU;Stari Grad (Hvar);32,00;122,00;158,00;27.09.2023;31.12.2025;Applicon
SPU;Vrboska (Hvar);36,00;134,00;176,00;27.09.2023;31.12.2025;Applicon
SPU;Jelsa (Hvar);37,00;134,00;176,00;27.09.2023;31.12.2025;Applicon
SPU;Hvar (Hvar);41,00;146,00;188,00;27.09.2023;31.12.2025;Applicon
SPU;Igrane;;;;27.09.2023;31.12.2025;Applicon
SPU;Zivogosce;;;;27.09.2023;31.12.2025;Applicon
SPU;Gradac;;;;27.09.2023;31.12.2025;Applicon
SPU;Drvenik;;;;27.09.2023;31.12.2025;Applicon
SPU;Vela luka;;;;27.09.2023;31.12.2025;Applicon
SPU;Vis;;;;27.09.2023;31.12.2025;Applicon
PUY;Pula;6,02;32,51;36,67;01.01.2020;26.09.2023;Applicon
PUY;Rabac;12,50;62,51;69,18;01.01.2020;26.09.2023;Applicon
PUY;Porec;14,18;73,35;87,52;01.01.2020;26.09.2023;Applicon
PUY;Lanterna Tar;;;;01.01.2020;26.09.2023;Applicon
PUY;SV Nikola Island;14,18;73,35;;01.01.2020;26.09.2023;Applicon
PUY;Novigrad;13,65;87,52;109,19;01.01.2020;26.09.2023;Applicon
PUY;Buje;14,18;103,33;110,98;01.01.2020;26.09.2023;Applicon
PUY;Medulin;6,02;32,51;36,67;01.01.2020;26.09.2023;Applicon
PUY;Rovinj;10,34;57,41;61,23;01.01.2020;26.09.2023;Applicon
PUY;Umag;14,18;103,33;110,98;01.01.2020;26.09.2023;Applicon
PUY;Vrsar;11,91;73,34;87,52;01.01.2020;26.09.2023;Applicon
PUY;Fazana;6,02;32,51;36,67;01.01.2020;26.09.2023;Applicon
PUY;Labin;8,40;32,51;36,67;01.01.2020;26.09.2023;Applicon
PUY;Opatija;;;;01.01.2020;26.09.2023;Applicon
