SPU;Podgora;22,97;167,74;196,91;27.09.2023;31.12.2025;-
SPU;Podstrana;14,95;102,10;115,23;27.09.2023;31.12.2025;-
SPU;Seget Vranjica;13,37;61,50;92,38;27.09.2023;31.12.2025;-
SPU;Solin;11,30;65,64;97,73;27.09.2023;31.12.2025;-
SPU;Trogir;13,37;61,50;92,38;27.09.2023;31.12.2025;-
SPU;Tucepi;22,24;196,91;233,38;27.09.2023;31.12.2025;-
SPU;Vodice;22,97;204,21;240,67;27.09.2023;31.12.2025;-
SPU;Primosten;15,19;98,00;119,00;27.09.2023;31.12.2025;-
SPU;Biograd;21,00;223,00;265,00;27.09.2023;31.12.2025;-
SPU;Stari Grad (Hvar);51,05;187,19;255,26;27.09.2023;31.12.2025;-
SPU;Vrboska (Hvar);51,05;187,19;255,26;27.09.2023;31.12.2025;-
SPU;Jelsa (Hvar);51,05;187,19;255,26;27.09.2023;31.12.2025;-
SPU;Hvar (Hvar);52,00;187,19;255,26;27.09.2023;31.12.2025;-
SPU;Igrane;;26,74;;27.09.2023;31.12.2025;-
SPU;Zivogosce;;205,42;;27.09.2023;31.12.2025;-
SPU;Gradac;;;;27.09.2023;31.12.2025;-
SPU;Drvenik;;;;27.09.2023;31.12.2025;-
SPU;Vela luka;;;;27.09.2023;31.12.2025;-
SPU;Vis;;;;27.09.2023;31.12.2025;-
PUY;Pula;9,26;45,15;50,94;01.01.2020;26.09.2023;-
PUY;Rabac;17,36;86,82;96,08;01.01.2020;26.09.2023;-
PUY;Porec;19,60;101,87;121,55;01.01.2020;26.09.2023;-
PUY;Lanterna Tar;;;;01.01.2020;26.09.2023;-
PUY;SV Nikola Island;19,60;101,87;;01.01.2020;26.09.2023;-
PUY;Novigrad;20,26;121,55;151,65;01.01.2020;26.09.2023;-
PUY;Buje;21,18;187,54;201,43;01.01.2020;26.09.2023;-
PUY;Medulin;11,46;55,57;83,35;01.01.2020;26.09.2023;-
PUY;Rovinj;21,18;104,19;111,13;01.01.2020;26.09.2023;-
PUY;Umag;21,18;187,54;201,43;01.01.2020;26.09.2023;-
